"Channel 3_x","Channel 3_y"
313.4759722,0.2774,
314.4822388,0.2797,
315.4886622,0.2815,
316.4950924,0.2825,
317.5005054,0.2819,
318.506984,0.2798,
319.5132992,0.2792,
320.5198605,0.2804,
321.526305,0.282,
322.5327229,0.279,
323.5392637,0.2794,
324.5455666,0.279,
325.551908,0.2788,
326.5581803,0.2811,
327.5645261,0.2805,
328.5708976,0.2785,
329.5771518,0.281,
330.5827374,0.2786,
331.5891354,0.2791,
332.5953882,0.281,
333.6017742,0.2798,
334.6081443,0.2816,
335.6145132,0.2797,
336.6210454,0.2812,
337.6277843,0.2808,
338.636106,0.2828,
339.6450987,0.281,
340.6505902,0.2831,
341.6569874,0.2843,
342.6633627,0.2804,
343.6697369,0.2821,
344.6751678,0.2842,
345.6817229,0.2817,
346.6949968,0.2817,
347.7043109,0.2823,
348.710813,0.2857,
349.7172079,0.2824,
350.7235775,0.2813,
351.7298274,0.2841,
352.7363391,0.2827,
353.7424736,0.2849,
354.7489328,0.2807,
355.7544758,0.2831,
356.7607784,0.2812,
357.7679064,0.2792,
358.7743275,0.278,
359.7807877,0.2804,
360.7864723,0.28,
361.7928517,0.2813,
362.7984807,0.2829,
363.8047771,0.2805,
364.8111339,0.2817,
365.8175306,0.2811,
366.8239069,0.278,
367.8302431,0.2796,
368.8367305,0.281,
369.8429992,0.281,
370.8493545,0.2808,
371.8557303,0.2789,
372.8621573,0.2815,
373.8693428,0.2831,
374.8757436,0.2801,
375.8820324,0.2806,
376.8881438,0.281,
377.8946724,0.2805,
378.901161,0.2794,
379.9076529,0.2786,
380.9141312,0.2815,
381.9204776,0.2799,
382.926861,0.2819,
383.9332378,0.2822,
384.9396427,0.2815,
385.9459963,0.2793,
386.9526324,0.2794,
387.9589133,0.2791,
388.9654467,0.2794,
389.9719307,0.2775,
390.9782906,0.2843,
391.9842615,0.283,
392.9906604,0.2816,
393.9969513,0.2802,
395.0024984,0.2797,
396.0082963,0.2799,
397.0146997,0.2823,
398.021033,0.278,
399.0277991,0.2803,
400.034286,0.2804,
401.0407784,0.279,
402.047157,0.2798,
403.0536587,0.2781,
404.0600054,0.2808,
405.0664172,0.2812,
406.0727761,0.2791,
407.0792489,0.2779,
408.0856211,0.2791,
409.0925894,0.2786,
410.0991728,0.2802,
411.1056638,0.278,
412.112061,0.2816,
413.1185472,0.2802,
414.1249721,0.2781,
415.1313605,0.2806,
416.1378725,0.2802,
417.1442442,0.2783,
418.1502137,0.2785,
419.1568334,0.2801,
420.1633372,0.2783,
421.1698549,0.2799,
422.1762493,0.2809,
423.1825814,0.2802,
424.1891403,0.2813,
425.1955886,0.2805,
426.2021332,0.2797,
427.2085907,0.2812,
428.214952,0.2789,
429.2214589,0.2805,
430.227597,0.2812,
431.2339413,0.2763,
432.2398462,0.2793,
433.2463174,0.2811,
434.2527399,0.2789,
435.2591653,0.2804,
436.2655277,0.2802,
437.2718673,0.2799,
438.2782836,0.2799,
439.28424,0.2786,
440.290482,0.2788,
441.2967997,0.2782,
442.3032467,0.2809,
443.3095207,0.2814,
444.3158731,0.2813,
445.3222785,0.28,
446.3286176,0.2796,
447.3351269,0.2789,
448.3415687,0.2813,
449.3480155,0.2799,
450.3544865,0.2816,
451.3608797,0.2823,
452.3675001,0.2797,
453.3738918,0.2803,
454.3804018,0.2773,
455.3867424,0.2813,
456.3930731,0.28,
457.3994656,0.2814,
458.4058673,0.2799,
459.4123149,0.2815,
460.4186862,0.2798,
461.424932,0.284,
462.4305005,0.2819,
463.4368541,0.281,
464.4432211,0.2811,
465.4496019,0.284,
466.456125,0.2829,
467.4624701,0.2814,
468.468796,0.2801,
469.4751647,0.2788,
470.4815402,0.282,
471.4881074,0.279,
472.4946144,0.2798,
473.5010617,0.2801,
474.5075612,0.2817,
475.5139771,0.2821,
476.5204728,0.2816,
477.5269692,0.2778,
478.5335472,0.283,
479.5399528,0.2806,
480.5464032,0.2796,
481.5528753,0.2826,
482.5591247,0.279,
483.5653691,0.2815,
484.5718753,0.2803,
485.5784371,0.281,
486.584883,0.2789,
487.5913746,0.2788,
488.5977178,0.2812,
489.6041462,0.2821,
490.6104946,0.2794,
491.6168571,0.2808,
492.6232769,0.2837,
493.6302214,0.2816,
494.6422575,0.2815,
495.6486216,0.2822,
496.6550951,0.2814,
497.6614294,0.2806,
498.6682723,0.28,
499.6745808,0.2807,
500.6859076,0.2841,
501.6931825,0.2825,
502.70155,0.2811,
503.7080495,0.2819,
504.7144337,0.2824,
505.7209206,0.283,
506.7264676,0.2817,
507.7327709,0.2815,
508.7384646,0.2815,
509.7449238,0.2854,
510.7504723,0.2826,
511.7568307,0.2797,
512.7624767,0.2795,
513.7688351,0.2835,
514.7747517,0.2812,
515.7812009,0.2832,
516.7874722,0.2811,
517.7938218,0.2804,
518.8002143,0.2807,
519.8065443,0.2813,
520.813529,0.2816,
521.8198838,0.2827,
522.8262186,0.2801,
523.8325937,0.283,
524.8391235,0.2799,
525.8455966,0.2786,
526.8521402,0.2789,
527.8585708,0.2796,
528.8650081,0.2798,
529.8714623,0.2816,
530.8778625,0.2789,
531.8843789,0.2806,
532.8908401,0.2796,
533.8972921,0.2782,
534.9037318,0.2772,
535.9098561,0.2781,
536.9163103,0.2782,
537.9221942,0.2819,
538.9287391,0.2846,
539.9344904,0.2788,
540.9410717,0.279,
541.9476168,0.2811,
542.9541969,0.2799,
543.9607465,0.282,
544.9664795,0.2821,
545.9729261,0.2795,
546.9792917,0.2792,
547.9851904,0.2801,
548.9916067,0.2817,
549.9979076,0.2809,
551.0042801,0.2785,
552.0098472,0.2799,
553.016207,0.2776,
554.0227294,0.2796,
555.0292284,0.2801,
556.0358148,0.2789,
557.0421352,0.2814,
558.0486317,0.2804,
559.0543814,0.28,
560.0610399,0.2786,
561.0673733,0.2799,
562.0732238,0.2796,
563.0797255,0.2803,
564.0860724,0.2792,
565.0925641,0.2799,
566.0990651,0.2802,
567.1054623,0.28,
568.1120608,0.2791,
569.1186633,0.281,
570.1252201,0.2796,
571.1316712,0.282,
572.138166,0.279,
573.1445765,0.2822,
574.151067,0.2807,
575.1574564,0.2815,
576.1639552,0.2807,
577.1695788,0.281,
578.1760116,0.2814,
579.1825249,0.2805,
580.1891108,0.2806,
581.1954391,0.2803,
582.2018425,0.281,
583.2081764,0.2799,
584.2146161,0.2793,
585.2211239,0.2778,
586.2274945,0.2788,
587.2338755,0.2795,
588.2402506,0.2824,
589.2467489,0.2811,
590.2532408,0.2796,
591.2596328,0.2784,
592.2660067,0.2801,
593.272373,0.2797,
594.2787445,0.2795,
595.2841787,0.279,
596.2905147,0.2791,
597.2968953,0.2813,
598.3024938,0.2808,
599.3089459,0.2798,
600.3153203,0.2798,
601.3216901,0.2817,
602.3278294,0.2785,
603.3341348,0.2794,
604.340472,0.2804,
605.346863,0.2785,
606.3532636,0.2805,
607.3594441,0.2778,
608.3659358,0.2798,
609.3724105,0.2799,
610.3788869,0.2796,
611.3853283,0.2777,
612.3918185,0.2806,
613.3982639,0.2805,
614.4046471,0.2801,
615.410876,0.2769,
616.4171433,0.2788,
617.4234662,0.2813,
618.4297297,0.2796,
619.4360771,0.2782,
620.4425309,0.282,
621.4487875,0.2782,
622.4549937,0.2798,
623.4613364,0.2796,
624.4675782,0.2803,
625.4738433,0.2807,
626.4798505,0.2864,
627.4861739,0.2804,
628.4925065,0.2793,
629.4988465,0.2814,
630.505291,0.2779,
631.5117714,0.2807,
632.5181706,0.2813,
633.5245206,0.2822,
634.5304711,0.2796,
635.5369327,0.2827,
636.5433781,0.2811,
637.5492854,0.2814,
638.555598,0.2802,
639.5619233,0.2813,
640.5683026,0.2855,
641.5745304,0.2816,
642.5809803,0.2798,
643.5873787,0.2783,
644.5938582,0.2789,
645.5998781,0.2805,
646.6062768,0.2798,
647.6122546,0.279,
648.6186302,0.2799,
649.6268628,0.2818,
650.6366048,0.2799,
651.6430688,0.2814,
652.6497805,0.2796,
653.6561916,0.2808,
654.6627238,0.2807,
655.6702659,0.2811,
656.6776164,0.2827,
657.6887298,0.2843,
658.6974523,0.2812,
659.7045586,0.2844,
660.7104583,0.2838,
661.7169626,0.2829,
662.7224636,0.2862,
663.7287154,0.2833,
664.7344866,0.2821,
665.7408144,0.2827,
666.7472868,0.2799,
667.7536912,0.2842,
668.7601585,0.2793,
669.7664735,0.2793,
670.7737336,0.2817,
671.7801442,0.2795,
672.7862573,0.2813,
673.7927115,0.2805,
674.7990351,0.28,
675.8055153,0.2794,
676.8139558,0.2773,
677.8198485,0.2786,
678.8257279,0.2799,
679.83219,0.2793,
680.8385503,0.2802,
681.845001,0.2785,
682.8515139,0.2786,
683.8578854,0.2789,
684.8643062,0.2797,
685.8708074,0.2811,
686.8773994,0.2805,
687.8838851,0.2806,
688.8903756,0.2784,
689.8968222,0.279,
690.9032631,0.2786,
691.9097006,0.2812,
692.9161475,0.28,
693.9226615,0.2784,
694.929126,0.2794,
695.9354718,0.277,
696.9420676,0.2783,
697.9485607,0.281,
698.9551024,0.2785,
699.9616601,0.2778,
700.967751,0.2801,
701.9742379,0.281,
702.9798486,0.2786,
703.9863627,0.2777,
704.9930115,0.2796,
705.9993322,0.2785,
707.0059743,0.2784,
708.0122857,0.2784,
709.0186372,0.2781,
710.0251241,0.2787,
711.0315723,0.28,
712.0379295,0.2817,
713.0443306,0.2774,
714.0507696,0.278,
715.0572972,0.2818,
716.0638881,0.2785,
717.0702529,0.2832,
718.0768631,0.2793,
719.0832818,0.277,
720.0898688,0.2763,
721.0964255,0.2796,
722.1028955,0.2798,
723.1092756,0.2826,
724.1157696,0.2802,
725.1222029,0.2798,
726.1287174,0.2781,
727.1343737,0.2795,
728.1409588,0.2804,
729.1477053,0.2807,
730.1540275,0.2797,
731.159893,0.2776,
732.1666484,0.282,
733.1730261,0.2798,
734.1794674,0.2784,
735.1858115,0.282,
736.1924844,0.2778,
737.1989021,0.2813,
738.2054439,0.2779,
739.2118025,0.2788,
740.2182748,0.2792,
741.22472,0.2855,
742.2314215,0.278,
743.2379498,0.283,
744.2444146,0.2799,
745.2508779,0.2823,
746.2573957,0.2831,
747.2638559,0.2795,
748.2703102,0.2809,
749.2766633,0.2788,
750.2831497,0.2799,
751.2896299,0.2794,
752.29616,0.2796,
753.3026321,0.2813,
754.3092041,0.2806,
755.3155637,0.2787,
756.3219578,0.2822,
757.3283114,0.2802,
758.3338144,0.2813,
759.3402619,0.28,
760.346734,0.2793,
761.3532939,0.2811,
762.3596084,0.2788,
763.3660963,0.2806,
764.3724339,0.2796,
765.3789232,0.2805,
766.3853071,0.2809,
767.3918355,0.2796,
768.3981929,0.2782,
769.4047296,0.2779,
770.4110994,0.2788,
771.4173479,0.2786,
772.4232445,0.2813,
773.4295654,0.2827,
774.4351983,0.2841,
775.4417846,0.2787,
776.4481812,0.2797,
777.4546082,0.2809,
778.4611237,0.279,
779.4676979,0.2796,
780.4742434,0.2796,
781.4807272,0.2797,
782.4874012,0.2797,
783.4938948,0.2803,
784.5002921,0.2801,
785.5060117,0.2817,
786.512506,0.2805,
787.5188632,0.2805,
788.5250385,0.2806,
789.5314605,0.2775,
790.5377979,0.2804,
791.5441508,0.2823,
792.5498672,0.2789,
793.5565157,0.2786,
794.5628605,0.281,
795.5692818,0.2806,
796.5756423,0.282,
797.5820813,0.2797,
798.5886717,0.2815,
799.5944996,0.2788,
800.6009555,0.2788,
801.6074402,0.2774,
802.6138322,0.2814,
803.6203637,0.2804,
804.6290069,0.2812,
805.6395614,0.2789,
806.6520915,0.2811,
807.6585164,0.2807,
808.66487,0.2828,
809.6706333,0.2796,
810.6780212,0.2833,
811.6894183,0.2817,
812.6979742,0.2812,
813.7065692,0.2808,
814.7129824,0.2803,
815.718452,0.2835,
816.7248619,0.2798,
817.7312155,0.2814,
818.7374394,0.2821,
819.7438552,0.2808,
820.7501299,0.2787,
821.7565577,0.2814,
822.7624707,0.28,
823.7687793,0.2809,
824.7744782,0.2823,
825.7801404,0.2806,
826.7864637,0.2831,
827.7926877,0.2811,
828.7998509,0.2778,
829.8062043,0.2789,
830.8126462,0.2804,
831.8189609,0.2776,
832.8252306,0.2778,
833.8315279,0.2781,
834.8379059,0.2795,
835.8442848,0.2762,
836.8506742,0.2801,
837.8570426,0.281,
838.8631644,0.2787,
839.8695025,0.2815,
840.8758321,0.2796,
841.8821938,0.2813,
842.8884351,0.2786,
843.8944867,0.279,
844.9009457,0.2805,
845.9064715,0.2794,
846.9128802,0.2797,
847.9193738,0.2773,
848.9257736,0.2778,
849.932163,0.2829,
850.9384863,0.2802,
851.9440675,0.279,
852.9506075,0.2806,
853.9570143,0.2801,
854.9636381,0.2789,
855.9700372,0.2801,
856.9764075,0.2821,
857.9826436,0.2796,
858.9888752,0.2771,
859.9952717,0.2802,
861.0016015,0.2788,
862.0079763,0.28,
863.0143325,0.2808,
864.0198808,0.2774,
865.0261827,0.2796,
866.0325561,0.2809,
867.0389175,0.2855,
868.045203,0.2854,
869.0514565,0.2837,
870.0578315,0.2827,
871.0641603,0.2792,
872.0701802,0.2779,
873.0765641,0.2805,
874.0829041,0.2818,
875.0893502,0.2804,
876.0956225,0.2838,
877.1020832,0.2799,
878.1085832,0.2847,
879.1150527,0.2809,
880.1216419,0.2795,
881.1282697,0.2801,
882.1348224,0.2811,
883.1415131,0.2787,
884.1482508,0.28,
885.1549106,0.2788,
886.161186,0.2831,
887.1675737,0.2806,
888.1741531,0.2804,
889.1798518,0.2801,
890.18642,0.2816,
891.193104,0.278,
892.1997209,0.2803,
893.2063315,0.2779,
894.2128413,0.2801,
895.2184987,0.279,
896.2251151,0.2793,
897.2316904,0.2771,
898.2382214,0.2809,
899.2449977,0.2785,
900.2516489,0.2782,
901.2574084,0.2781,
902.2640388,0.2787,
903.2704661,0.2858,
904.276427,0.28,
905.2829449,0.28,
906.2894859,0.2809,
907.29618,0.2809,
908.3025,0.2812,
909.3088899,0.2788,
910.3155055,0.2814,
911.3219941,0.2804,
912.3287196,0.2806,
913.3351753,0.2779,
914.3408725,0.2779,
915.3473961,0.2794,
916.3540421,0.2783,
917.3605227,0.2786,
918.3671117,0.2805,
919.3736045,0.2781,
920.3801067,0.2789,
921.3864758,0.2795,
922.3930845,0.279,
923.3991952,0.2781,
924.4056857,0.2798,
925.4121313,0.2767,
926.4187105,0.279,
927.4251964,0.278,
928.4316163,0.2819,
929.4382753,0.2812,
930.4447255,0.2796,
931.4512188,0.2788,
932.4578164,0.2817,
933.464488,0.2805,
934.4710965,0.2796,
935.4778328,0.2796,
936.4844172,0.2818,
937.4910629,0.2789,
938.497745,0.28,
939.5044873,0.2794,
940.5109732,0.2807,
941.5169759,0.2787,
942.5234172,0.281,
943.5298877,0.2804,
944.5364211,0.2796,
945.5429244,0.2801,
946.5494325,0.2806,
947.5559845,0.2781,
948.5624902,0.2776,
949.5689647,0.2782,
950.5754459,0.2783,
951.5813472,0.2799,
952.588115,0.2761,
953.5947273,0.2772,
954.6012707,0.2815,
955.6077697,0.2807,
956.6143787,0.2784,
957.6209996,0.2812,
958.6403844,0.2778,
959.6474297,0.2771,
960.6540191,0.2804,
961.6605332,0.2805,
962.6664791,0.282,
963.6731322,0.2799,
964.6845958,0.2798,
965.6922314,0.2824,
966.6997128,0.281,
967.7079794,0.2821,
968.7163641,0.2809,
969.7264879,0.2808,
970.7329621,0.2826,
971.7395084,0.2789,
972.7464826,0.2824,
973.7530193,0.2811,
974.7596421,0.2804,
975.7662551,0.2818,
976.772758,0.2781,
977.7792263,0.2786,
978.7858391,0.2769,
979.7923589,0.2775,
980.7984753,0.2798,
981.8050766,0.2815,
982.8116539,0.2808,
983.8185375,0.2807,
984.8250525,0.2846,
985.8316069,0.2782,
986.8381429,0.2796,
987.8446083,0.2768,
988.8511739,0.2795,
989.8576655,0.2796,
990.8641491,0.2807,
991.870559,0.2804,
992.876935,0.2785,
993.8834014,0.2786,
994.8898852,0.2801,
995.896342,0.2811,
996.9023745,0.2809,
997.9089069,0.278,
998.9152751,0.2795,
999.9218528,0.2804,
1000.928491,0.2788,
1001.934977,0.2787,
1002.941648,0.281,
1003.948323,0.2773,
1004.954936,0.2797,
1005.961615,0.2814,
1006.968162,0.2783,
1007.974778,0.2791,
1008.981391,0.2806,
1009.988052,0.2791,
1010.994613,0.2794,
1012.0013,0.2804,
1013.007823,0.2799,
1014.014593,0.2808,
1015.021135,0.2793,
1016.027189,0.2803,
1017.033673,0.2784,
1018.040218,0.2773,
1019.046812,0.2786,
1020.053421,0.2782,
1021.060064,0.2802,
1022.066675,0.278,
1023.073408,0.2787,
1024.079898,0.2812,
1025.086418,0.2803,
1026.092972,0.2819,
1027.099465,0.2786,
1028.105944,0.2772,
1029.112561,0.2795,
1030.119189,0.2774,
1031.125689,0.2792,
1032.132162,0.2802,
1033.138498,0.2829,
1034.14507,0.2786,
1035.151588,0.2837,
1036.15816,0.2801,
1037.164799,0.2801,
1038.171434,0.2817,
1039.177961,0.2771,
1040.184487,0.2802,
1041.19099,0.2804,
1042.197459,0.2803,
1043.204046,0.2801,
1044.209876,0.2789,
1045.216509,0.2802,
1046.223127,0.2798,
1047.229647,0.2808,
1048.236113,0.281,
1049.242491,0.2743,
1050.248956,0.2816,
1051.255316,0.2781,
1052.261776,0.2807,
1053.268421,0.2842,
1054.274999,0.2829,
1055.28153,0.2804,
1056.288163,0.2784,
1057.294773,0.2806,
1058.301278,0.2807,
1059.307721,0.2801,
1060.314192,0.2809,
1061.319847,0.2823,
1062.326505,0.2795,
1063.333221,0.2796,
1064.339869,0.2795,
1065.346427,0.2815,
1066.353082,0.2807,
1067.359637,0.2761,
1068.366131,0.2783,
1069.372837,0.2791,
1070.379477,0.2793,
1071.386096,0.2783,
1072.39283,0.2798,
1073.399487,0.2805,
1074.406038,0.2811,
1075.412477,0.2786,
1076.419147,0.2793,
1077.425516,0.2796,
1078.431973,0.2808,
1079.438665,0.2792,
1080.445253,0.2777,
1081.451782,0.2805,
1082.458337,0.2799,
1083.464852,0.2778,
1084.471622,0.2789,
1085.47821,0.2824,
1086.484795,0.2802,
1087.490474,0.2806,
1088.496928,0.2796,
1089.503477,0.2789,
1090.510212,0.2814,
1091.516891,0.2792,
1092.523566,0.2796,
1093.530035,0.2805,
1094.536229,0.2784,
1095.542262,0.2802,
1096.548641,0.2807,
1097.555048,0.2804,
1098.561622,0.2801,
1099.568149,0.2813,
1100.574641,0.2767,
1101.581206,0.2777,
1102.587757,0.2774,
1103.594488,0.2797,
1104.601055,0.2775,
1105.607663,0.2823,
1106.614361,0.2808,
1107.619848,0.2785,
1108.627032,0.2807,
1109.634075,0.2795,
1110.640649,0.2827,
1111.651355,0.2837,
1112.659795,0.2844,
1113.666366,0.2816,
1114.679826,0.2829,
1115.705397,0.2809,
1116.713783,0.2806,
1117.719832,0.2807,
1118.726279,0.2836,
1119.732671,0.2824,
1120.73848,0.2844,
1121.744903,0.28,
1122.750838,0.2847,
1123.757427,0.2807,
1124.763911,0.2811,
1125.770341,0.2795,
1126.776871,0.2816,
1127.783133,0.2777,
1128.789507,0.2806,
1129.79601,0.2803,
1130.80684,0.2819,
1131.81331,0.2811,
1132.819758,0.2823,
1133.82618,0.2768,
1134.832581,0.2766,
1135.839193,0.2783,
1136.845592,0.279,
1137.85205,0.2787,
1138.858485,0.2805,
1139.865054,0.2803,
1140.871669,0.2793,
1141.878192,0.2797,
1142.884714,0.2787,
1143.891278,0.2805,
1144.897872,0.2786,
1145.904392,0.2802,
1146.910974,0.2801,
1147.917365,0.2792,
1148.923732,0.2803,
1149.929849,0.2804,
1150.936388,0.2788,
1151.942494,0.2834,
1152.949043,0.28,
1153.955597,0.2784,
1154.962159,0.2806,
1155.968912,0.2789,
1156.975385,0.2806,
1157.981899,0.2799,
1158.988422,0.2728,
1159.994979,0.273,
1161.001499,0.2731,
1162.007915,0.2731,
1163.014316,0.2734,
1164.020813,0.2725,
1165.027304,0.2729,
1166.033793,0.2729,
1167.040168,0.279,
1168.046617,0.2786,
1169.052759,0.2756,
1170.058856,0.2786,
1171.06415,0.2819,
1172.070371,0.2798,
1173.076221,0.2805,
1174.082327,0.2801,
1175.088565,0.2786,
1176.094687,0.2793,
1177.100859,0.2793,
1178.106966,0.2792,
1179.113345,0.2809,
1180.119397,0.28,
1181.125801,0.2797,
1182.131413,0.2791,
1183.137598,0.2784,
1184.143869,0.2814,
