EXPERIMENTAL DATA:c:\digitam\result\jbcal00.xpt        DATE 19-Sep-18
START TIME:  12:03       STOP TIME:  12:39       TOTAL TIME:  0:36
=============================================================================   
TIME	P	Q	P(corr)	Q(corr)	A.INPUT	A.INPUT	REMARK
sec	microW	mJ	microW	mJ	MV	MVs
                                                                                
1	22.307	0.022	 	 	 	 	FIRST PART #1
2	22.233	0.045	 	 	 	 	PAUSE
3	22.233	0.067	 	 	 	 	cond 1
4	22.258	0.089	 	 	 	 
5	22.307	0.111	 	 	 	 
6	22.325	0.134	 	 	 	 
7	22.307	0.156	 	 	 	 
8	22.331	0.178	 	 	 	 
9	22.209	0.201	 	 	 	 
10	22.184	0.223	 	 	 	 
11	22.258	0.245	 	 	 	 
12	22.160	0.267	 	 	 	 
13	22.160	0.289	 	 	 	 
14	22.215	0.311	 	 	 	 
15	22.282	0.334	 	 	 	 
16	22.184	0.356	 	 	 	 
17	22.258	0.378	 	 	 	 
18	22.331	0.401	 	 	 	 
19	22.282	0.423	 	 	 	 
20	22.356	0.445	 	 	 	 
21	22.270	0.467	 	 	 	 
22	22.307	0.490	 	 	 	 
23	22.307	0.512	 	 	 	 
24	22.331	0.534	 	 	 	 
25	22.356	0.557	 	 	 	 
26	22.307	0.579	 	 	 	 
27	22.307	0.601	 	 	 	 
28	22.344	0.624	 	 	 	 
29	22.429	0.646	 	 	 	 
30	22.454	0.669	 	 	 	 
31	22.528	0.691	 	 	 	 
32	22.479	0.714	 	 	 	 
33	22.503	0.736	 	 	 	 
34	22.503	0.759	 	 	 	 
35	22.454	0.781	 	 	 	 
36	22.429	0.803	 	 	 	 
37	22.479	0.826	 	 	 	 
38	22.454	0.848	 	 	 	 
39	22.380	0.871	 	 	 	 
40	22.356	0.893	 	 	 	 
41	22.429	0.916	 	 	 	 
42	22.356	0.938	 	 	 	 
43	22.491	0.960	 	 	 	 
44	22.405	0.983	 	 	 	 
45	22.429	1.005	 	 	 	 
46	22.356	1.028	 	 	 	 
47	22.331	1.050	 	 	 	 
48	22.331	1.072	 	 	 	 
49	22.331	1.095	 	 	 	 
50	22.399	1.117	 	 	 	 
51	22.380	1.139	 	 	 	 
52	22.258	1.162	 	 	 	 
53	22.331	1.184	 	 	 	 
54	22.282	1.206	 	 	 	 
55	22.282	1.229	 	 	 	 
56	22.160	1.251	 	 	 	 
57	22.270	1.273	 	 	 	 
58	22.184	1.295	 	 	 	 
59	22.061	1.317	 	 	 	 
60	22.061	1.339	 	 	 	 
61	22.110	0.022	 	 	 	 	FIRST PART #1
62	22.135	0.044	 	 	 	 	MAIN #1
63	22.160	0.066	 	 	 	 	cond 1
64	22.331	0.089	 	 	 	 
65	22.822	0.112	 	 	 	 
66	23.804	0.135	 	 	 	 
67	25.104	0.160	 	 	 	 
68	26.503	0.187	 	 	 	 
69	28.368	0.215	 	 	 	 
70	30.356	0.246	 	 	 	 
71	32.540	0.278	 	 	 	 
72	34.626	0.313	 	 	 	 
73	36.957	0.350	 	 	 	 
74	39.411	0.389	 	 	 	 
75	41.571	0.431	 	 	 	 
76	44.558	0.475	 	 	 	 
77	47.607	0.523	 	 	 	 
78	50.086	0.573	 	 	 	 
79	52.663	0.626	 	 	 	 
80	55.215	0.681	 	 	 	 
81	57.767	0.739	 	 	 	 
82	60.270	0.799	 	 	 	 
83	62.773	0.862	 	 	 	 
84	65.350	0.927	 	 	 	 
85	67.902	0.995	 	 	 	 
86	70.209	1.065	 	 	 	 
87	72.761	1.138	 	 	 	 
88	75.190	1.213	 	 	 	 
89	78.055	1.291	 	 	 	 
90	80.834	1.372	 	 	 	 
91	83.337	1.455	 	 	 	 
92	85.620	1.541	 	 	 	 
93	88.074	1.629	 	 	 	 
94	90.454	1.720	 	 	 	 
95	92.687	1.812	 	 	 	 
96	94.994	1.907	 	 	 	 
97	97.350	2.005	 	 	 	 
98	99.534	2.104	 	 	 	 
99	101.742	2.206	 	 	 	 
100	103.828	2.310	 	 	 	 
101	106.135	2.416	 	 	 	 
102	108.534	2.524	 	 	 	 
103	110.994	2.635	 	 	 	 
104	113.031	2.748	 	 	 	 
105	115.117	2.863	 	 	 	 
106	117.227	2.981	 	 	 	 
107	119.362	3.100	 	 	 	 
108	121.301	3.221	 	 	 	 
109	123.313	3.345	 	 	 	 
110	125.276	3.470	 	 	 	 
111	127.313	3.597	 	 	 	 
112	129.276	3.727	 	 	 	 
113	131.018	3.858	 	 	 	 
114	132.957	3.991	 	 	 	 
115	135.166	4.126	 	 	 	 
116	137.423	4.263	 	 	 	 
117	139.092	4.402	 	 	 	 
118	140.859	4.543	 	 	 	 
119	142.601	4.686	 	 	 	 
120	144.466	4.830	 	 	 	 
121	146.012	4.976	 	 	 	 
122	147.804	5.124	 	 	 	 
123	149.497	5.273	 	 	 	 
124	151.215	5.425	 	 	 	 
125	152.883	5.578	 	 	 	 
126	154.503	5.732	 	 	 	 
127	156.147	5.888	 	 	 	 
128	158.098	6.046	 	 	 	 
129	159.853	6.206	 	 	 	 
130	161.571	6.368	 	 	 	 
131	163.166	6.531	 	 	 	 
132	164.663	6.696	 	 	 	 
133	166.110	6.862	 	 	 	 
134	167.730	7.029	 	 	 	 
135	169.276	7.199	 	 	 	 
136	170.601	7.369	 	 	 	 
137	172.147	7.541	 	 	 	 
138	173.620	7.715	 	 	 	 
139	175.043	7.890	 	 	 	 
140	176.515	8.067	 	 	 	 
141	178.123	8.245	 	 	 	 
142	179.951	8.425	 	 	 	 
143	181.276	8.606	 	 	 	 
144	182.577	8.788	 	 	 	 
145	184.000	8.972	 	 	 	 
146	185.325	9.158	 	 	 	 
147	186.699	9.345	 	 	 	 
148	188.025	9.533	 	 	 	 
149	189.448	9.722	 	 	 	 
150	190.675	9.913	 	 	 	 
151	192.074	10.105	 	 	 	 
152	193.325	10.298	 	 	 	 
153	194.699	10.493	 	 	 	 
154	196.270	10.689	 	 	 	 
155	197.620	10.887	 	 	 	 
156	198.822	11.085	 	 	 	 
157	200.098	11.286	 	 	 	 
158	201.129	11.487	 	 	 	 
159	202.380	11.689	 	 	 	 
160	203.558	11.893	 	 	 	 
161	204.712	12.097	 	 	 	 
162	205.767	12.303	 	 	 	 
163	206.920	12.510	 	 	 	 
164	208.074	12.718	 	 	 	 
165	209.104	12.927	 	 	 	 
166	210.258	13.137	 	 	 	 
167	211.313	13.349	 	 	 	 
168	212.319	13.561	 	 	 	 
169	213.374	13.774	 	 	 	 
170	214.429	13.989	 	 	 	 
171	215.509	14.204	 	 	 	 
172	216.540	14.421	 	 	 	 
173	217.644	14.639	 	 	 	 
174	218.650	14.857	 	 	 	 
175	219.583	15.077	 	 	 	 
176	220.613	15.297	 	 	 	 
177	221.521	15.519	 	 	 	 
178	222.528	15.742	 	 	 	 
179	223.460	15.965	 	 	 	 
180	224.466	16.189	 	 	 	 
181	225.423	16.415	 	 	 	 
182	226.356	16.641	 	 	 	 
183	227.313	16.869	 	 	 	 
184	228.270	17.097	 	 	 	 
185	229.202	17.326	 	 	 	 
186	230.159	17.556	 	 	 	 
187	230.798	17.787	 	 	 	 
188	231.951	18.019	 	 	 	 
189	232.663	18.252	 	 	 	 
