"Channel 1_x","Channel 1_y","Channel 2_x","Channel 2_y","Channel 3_x","Channel 3_y"
445.4941807,23.96,447.1621108,20.5,448.8301082,20.01,
450.4981825,23.98,452.1674211,20.51,453.8364248,20.01,
455.5045321,23.98,457.1731281,20.51,458.8421016,20.01,
460.5137169,23.98,462.1834259,20.51,463.8525777,20.01,
465.5219162,23.97,467.1901052,20.5,468.8581045,20.01,
470.5261779,23.97,472.1941061,20.5,473.8621097,20.01,
475.5301836,23.97,477.198101,20.5,478.8661089,20.01,
480.534178,23.97,482.2021108,20.5,483.8701081,20.01,
485.5381844,23.98,487.2061098,20.5,488.8741035,20.01,
490.5421808,23.98,492.2097328,20.51,493.8774612,20.01,
495.548269,23.98,497.2169623,20.51,498.8856916,20.01,
500.5541873,23.98,502.22211,20.51,503.8901064,20.01,
505.5581839,23.98,507.2261043,20.51,508.893472,20.01,
510.561002,23.97,512.2291768,20.51,513.8969142,20.01,
515.5651248,23.96,517.2336574,20.51,518.9020038,20.01,
520.5703354,23.96,522.2381041,20.51,523.9061024,20.01,
525.5741758,23.96,527.2421067,20.51,528.9101076,20.01,
530.5781803,23.96,532.2461033,20.51,533.9141111,20.01,
535.5821717,23.95,537.2501078,20.51,538.9181108,20.01,
540.5861847,23.95,542.2541075,20.51,543.9221091,20.01,
545.5901785,23.97,547.2581122,20.51,548.9273887,20.01,
550.5964355,23.97,552.2642374,20.51,553.9334669,20.01,
555.6021619,23.97,557.2701061,20.51,558.9381056,20.01,
560.6061864,23.98,562.2741048,20.51,563.9421046,20.01,
565.6101861,23.98,567.279593,20.51,568.9489615,20.01,
570.6181827,23.98,572.2861109,20.51,573.9541087,20.01,
575.624217,23.96,577.2939177,20.51,578.9621081,20.01,
580.6315594,23.96,582.3005815,20.51,583.9692254,20.01,
585.6377618,23.96,587.3060572,20.51,588.9741068,20.01,
590.6434953,23.96,592.312633,20.51,593.9820039,20.02,
595.6501801,23.96,597.3181102,20.51,598.9861069,20.02,
600.655477,23.96,602.3243206,20.51,603.9930437,20.02,
605.6617448,23.97,607.3301039,20.51,608.9981108,20.02,
610.6661773,23.97,612.3341055,20.51,614.0021055,20.02,
615.6701918,23.97,617.3381042,20.51,619.0061049,20.01,
620.6759884,23.97,622.3455296,20.51,624.0146277,20.01,
625.6821787,23.97,627.3501081,20.51,629.0181067,20.02,
630.6861849,23.97,632.3557029,20.51,634.0249259,20.02,
635.6932559,23.97,637.3618634,20.51,639.0301051,20.02,
640.6981888,23.97,642.3661056,20.51,644.0341094,20.02,
645.7021811,23.97,647.3701034,20.51,649.0381057,20.02,
650.7074752,23.97,652.3757524,20.51,654.0445018,20.02,
655.7141783,23.97,657.3834662,20.51,659.0521986,20.01,
660.7217715,23.98,662.3904195,20.51,664.0600328,20.01,
665.7288737,23.98,667.3977764,20.51,669.0661073,20.02,
670.7341807,23.98,672.4021075,20.51,674.0701048,20.02,
675.7381835,23.98,677.4059465,20.51,679.0741007,20.02,
680.7421775,23.98,682.4101112,20.51,684.0781016,20.02,
685.7461832,23.98,687.4141006,20.51,689.082109,20.02,
690.7501831,23.99,692.4181051,20.51,694.0861168,20.02,
695.7541873,23.99,697.422101,20.51,699.0901132,20.02,
700.758178,23.99,702.4256144,20.51,704.0930023,20.02,
705.7615201,23.99,707.4295597,20.51,709.0981011,20.02,
710.7661805,23.99,712.4341059,20.5,714.1021104,20.02,
715.7702482,23.97,717.4381032,20.5,719.1061034,20.02,
720.7741809,23.97,722.4421077,20.5,724.1101067,20.02,
725.7779851,23.97,727.446105,20.5,729.1140094,20.02,
730.7821808,23.97,732.4501059,20.5,734.1181066,20.02,
735.7861781,23.97,737.4540958,20.5,739.1217301,20.02,
740.789803,23.97,742.4585347,20.5,744.1272378,20.01,
745.7968791,23.97,747.4658191,20.51,749.1351552,20.01,
750.8045835,23.97,752.4735458,20.51,754.1425257,20.01,
755.811445,23.97,757.4806228,20.51,759.1502111,20.01,
760.8199987,23.97,762.4893124,20.51,764.1590703,20.01,
765.8288486,23.97,767.4982548,20.51,769.1669893,20.01,
770.835412,23.97,772.5049727,20.51,774.1741245,20.01,
775.8436971,23.97,777.5129392,20.51,779.1815126,20.01,
780.8506954,23.97,782.5195327,20.51,784.1886623,20.01,
785.858228,23.97,787.5269451,20.5,789.1951821,20.01,
790.8641222,23.98,792.5325882,20.5,794.2015777,20.01,
795.8709767,23.98,797.5394723,20.5,799.2082996,20.01,
800.8777566,23.98,802.5464246,20.5,804.2151186,20,
805.884166,23.98,807.5526481,20.5,809.2207727,20,
810.8890808,23.98,812.5583961,20.5,814.2264974,20,
815.8959029,23.98,817.5643604,20.5,819.233166,20,
820.9025688,23.98,822.571835,20.5,824.2413321,20,
825.9107652,23.98,827.5795491,20.5,829.2482088,20,
830.916611,23.98,832.5851228,20.5,834.2539101,20,
835.9235022,23.98,837.5922437,20.5,839.2615759,20,
840.9306364,23.98,842.5996633,20.51,844.2682807,20,
845.9368954,23.98,847.6058784,20.51,849.2748716,20,
850.944263,23.98,852.6136563,20.51,854.2830756,20,
855.9521058,23.98,857.6214225,20.5,859.2902687,20,
860.9596775,23.99,862.6288016,20.5,864.2977347,20,
865.9664428,23.99,867.6355965,20.5,869.3044095,20,
870.9730604,23.98,872.6418104,20.5,874.3111739,20,
875.9807196,23.98,877.6498799,20.5,879.3191276,19.99,
880.9885116,23.98,882.6572037,20.5,884.3264866,19.99,
885.9957237,23.98,887.6645494,20.5,889.3338101,19.99,
891.0030553,23.98,892.6722524,20.5,894.3413265,19.99,
896.0103605,23.98,897.6785808,20.5,899.347544,19.99,
901.0166883,23.99,902.6853888,20.5,904.3547552,19.99,
906.023694,23.99,907.6928487,20.5,909.3617725,19.99,
911.0310037,23.99,912.7008052,20.5,914.370513,19.99,
916.0394993,23.98,917.7082705,20.5,919.3775234,19.99,
921.0464056,23.98,922.7160981,20.5,924.3853288,19.99,
926.0547926,23.98,927.7239373,20.5,929.3929193,19.99,
931.062238,23.98,932.7316451,20.5,934.401001,19.99,
936.0705686,23.98,937.7392817,20.5,939.4080434,19.99,
941.0771537,23.98,942.7465577,20.5,944.4163237,19.99,
946.0858009,23.98,947.7542331,20.51,949.4232101,19.99,
951.0923963,23.98,952.7615528,20.51,954.4307132,19.99,
956.0990129,23.98,957.768816,20.51,959.4384186,19.99,
961.1080918,23.98,962.7771497,20.51,964.4458444,19.99,
