EXPERIMENTAL DATA:c:\digitam\result\jbscal02.xpt       DATE 21-Sep-18
START TIME:  11:30       STOP TIME:  12:06       TOTAL TIME:  0:36
=============================================================================   
TIME	P	Q	P(corr)	Q(corr)	A.INPUT	A.INPUT	REMARK
sec	microW	mJ	microW	mJ	MV	MVs
                                                                                
1	-2.110	-0.002	 	 	 	 	FIRST PART #1
2	-2.110	-0.004	 	 	 	 	PAUSE
3	-2.227	-0.006	 	 	 	 	cond 1
4	-2.503	-0.009	 	 	 	 
5	-2.405	-0.011	 	 	 	 
6	-2.356	-0.014	 	 	 	 
7	-2.307	-0.016	 	 	 	 
8	-2.380	-0.018	 	 	 	 
9	-2.479	-0.021	 	 	 	 
10	-2.393	-0.023	 	 	 	 
11	-2.380	-0.026	 	 	 	 
12	-2.331	-0.028	 	 	 	 
13	-2.577	-0.031	 	 	 	 
14	-2.429	-0.033	 	 	 	 
15	-2.380	-0.035	 	 	 	 
16	-2.184	-0.038	 	 	 	 
17	-2.411	-0.040	 	 	 	 
18	-2.454	-0.042	 	 	 	 
19	-2.479	-0.045	 	 	 	 
20	-2.405	-0.047	 	 	 	 
21	-2.331	-0.050	 	 	 	 
22	-2.601	-0.052	 	 	 	 
23	-2.209	-0.054	 	 	 	 
24	-2.258	-0.057	 	 	 	 
25	-2.227	-0.059	 	 	 	 
26	-2.331	-0.061	 	 	 	 
27	-2.160	-0.063	 	 	 	 
28	-2.160	-0.066	 	 	 	 
29	-2.258	-0.068	 	 	 	 
30	-2.037	-0.070	 	 	 	 
31	-2.307	-0.072	 	 	 	 
32	-2.264	-0.074	 	 	 	 
33	-2.037	-0.076	 	 	 	 
34	-2.012	-0.078	 	 	 	 
35	-2.282	-0.081	 	 	 	 
36	-2.233	-0.083	 	 	 	 
37	-2.209	-0.085	 	 	 	 
38	-2.160	-0.087	 	 	 	 
39	-2.209	-0.090	 	 	 	 
40	-2.307	-0.092	 	 	 	 
41	-2.086	-0.094	 	 	 	 
42	-2.258	-0.096	 	 	 	 
43	-2.233	-0.098	 	 	 	 
44	-2.086	-0.101	 	 	 	 
45	-2.160	-0.103	 	 	 	 
46	-2.356	-0.105	 	 	 	 
47	-2.337	-0.107	 	 	 	 
48	-2.061	-0.109	 	 	 	 
49	-2.160	-0.112	 	 	 	 
50	-2.331	-0.114	 	 	 	 
51	-2.037	-0.116	 	 	 	 
52	-2.037	-0.118	 	 	 	 
53	-2.037	-0.120	 	 	 	 
54	-2.117	-0.122	 	 	 	 
55	-2.209	-0.124	 	 	 	 
56	-2.160	-0.127	 	 	 	 
57	-2.307	-0.129	 	 	 	 
58	-2.160	-0.131	 	 	 	 
59	-2.209	-0.133	 	 	 	 
60	-2.233	-0.135	 	 	 	 
61	-2.282	-0.138	 	 	 	 
62	-2.184	-0.002	 	 	 	 	FIRST PART #1
63	-2.086	-0.004	 	 	 	 	MAIN #1
64	-2.110	-0.006	 	 	 	 	cond 1
65	-1.742	-0.008	 	 	 	 
66	-0.933	-0.009	 	 	 	 
67	1.104	-0.008	 	 	 	 
68	4.767	-0.003	 	 	 	 
69	9.129	0.006	 	 	 	 
70	13.325	0.019	 	 	 	 
71	17.669	0.037	 	 	 	 
72	22.380	0.059	 	 	 	 
73	27.067	0.086	 	 	 	 
74	31.853	0.118	 	 	 	 
75	36.957	0.155	 	 	 	 
76	42.773	0.198	 	 	 	 
77	43.386	0.241	 	 	 	 
78	29.890	0.271	 	 	 	 
79	33.031	0.304	 	 	 	 
80	35.141	0.339	 	 	 	 
81	38.748	0.378	 	 	 	 
82	40.687	0.419	 	 	 	 
83	42.626	0.461	 	 	 	 
84	46.086	0.508	 	 	 	 
85	48.123	0.556	 	 	 	 
86	49.890	0.606	 	 	 	 
87	52.515	0.658	 	 	 	 
